T	1/s	?(T)	?(1/s)	t	s
1.855	0.269541779	0.3	0.043591662	3.71	3.71
5.202	0.335120643	0.3	0.067383507	6.694	2.984
8.486	0.279017857	0.3	0.046710579	10.278	3.584
12.27	0.251004016	0.3	0.03780181	14.262	3.984
16.162	0.263157895	0.3	0.041551247	18.062	3.8
20.2375	0.229832222	0.3	0.03169371	22.413	4.351
24.4885	0.240905806	0.3	0.034821364	26.564	4.151
29.0305	0.2027164	0.3	0.024656363	31.497	4.933
33.147	0.303030303	0.3	0.055096419	34.797	3.3
38.4225	0.137912012	0.3	0.011411834	42.048	7.251
47.4155	0.093153237	0.3	0.005206515	52.783	10.735
55.842	0.163452109	0.3	0.016029955	58.901	6.118
62.992	0.122219506	0.3	0.008962565	67.083	8.182
70.4345	0.149186931	0.3	0.013354044	73.786	6.703
78.428	0.107712193	0.3	0.00696115	83.07	9.284
87.2045	0.120933607	0.3	0.008774962	91.339	8.269
97.297	0.083920779	0.3	0.004225618	103.255	11.916
108.807	0.090057637	0.3	0.004866227	114.359	11.104
122.218	0.063621326	0.3	0.002428604	130.077	15.718
148.4025	0.027284385	0.3	0.000446663	166.728	36.651
182.697	0.031310664	0.3	0.000588215	198.666	31.938
218.1095	0.025715535	0.3	0.000396773	237.553	38.887
279.773	0.011842729	0.3	0	321.993	84.44
