T	1/s	?(T)	?(1/s)	s	t	Interval	Total
1.2705	0.393545848	0.3	0.092927001	2.541	2.541	00:00:02.541	00:00:02.541
3.8595	0.379218809	0.3	0.086284143	2.637	5.178	00:00:02.637	00:00:05.178
6.554	0.363372093	0.3	0.079223567	2.752	7.93	00:00:02.752	00:00:07.930
9.471	0.324464633	0.3	0.063166379	3.082	11.012	00:00:03.082	00:00:11.012
12.2035	0.41963911	0.3	0.10565819	2.383	13.395	00:00:02.383	00:00:13.395
15.3025	0.262123198	0.3	0.041225143	3.815	17.21	00:00:03.815	00:00:17.210
18.7685	0.320821303	0.3	0.061755785	3.117	20.327	00:00:03.117	00:00:20.327
22.2705	0.257267816	0.3	0.039712037	3.887	24.214	00:00:03.887	00:00:24.214
25.9055	0.295595625	0.3	0.052426064	3.383	27.597	00:00:03.383	00:00:27.597
29.5395	0.257400257	0.3	0.039752936	3.885	31.482	00:00:03.885	00:00:31.482
33.4575	0.253100481	0.3	0.038435912	3.951	35.433	00:00:03.951	00:00:35.433
37.482	0.244021474	0.3	0.035727888	4.098	39.531	00:00:04.098	00:00:39.531
41.941	0.20746888	0.3	0.025826002	4.82	44.351	00:00:04.820	00:00:44.351
46.2985	0.256739409	0.3	0.039549075	3.895	48.246	00:00:03.895	00:00:48.246
51.441	0.156494523	0.3	0.014694321	6.39	54.636	00:00:06.390	00:00:54.636
56.952	0.215889465	0.3	0.027964957	4.632	59.268	00:00:04.632	00:00:59.268
62.527	0.153421295	0.3	0.014122856	6.518	65.786	00:00:06.518	00:01:05.786
68.3345	0.19619384	0.3	0.023095214	5.097	70.883	00:00:05.097	00:01:10.883
74.3815	0.142918394	0.3	0.0122554	6.997	77.88	00:00:06.997	00:01:17.880
81.5305	0.136967539	0.3	0.011256064	7.301	85.181	00:00:07.301	00:01:25.181
89.3815	0.119033448	0.3	0.008501377	8.401	93.582	00:00:08.401	00:01:33.582
97.449	0.129299198	0.3	0.01003097	7.734	101.316	00:00:07.734	00:01:41.316
106.491	0.096618357	0.3	0.005601064	10.35	111.666	00:00:10.350	00:01:51.666
116.1255	0.112120193	0.3	0.007542563	8.919	120.585	00:00:08.919	00:02:00.585
129.484	0.056186088	0.3	0.001894126	17.798	138.383	00:00:17.798	00:02:18.383
143.5335	0.097077954	0.3	0.005654477	10.301	148.684	00:00:10.301	00:02:28.684
160.453	0.042484493	0.3	0.001082959	23.538	172.222	00:00:23.538	00:02:52.222
181.064	0.056548292	0.3	0.001918626	17.684	189.906	00:00:17.684	00:03:09.906
209.691	0.02527167	0.3	0.000383194	39.57	229.476	00:00:39.570	00:03:49.476
251.228	0.022986392	0.3	0.000317025	43.504	272.98	00:00:43.504	00:04:32.980
318.684	0.010939961	0.3	0	91.408	364.388	00:01:31.408	00:06:04.388
